link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,lanes,capacity,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,10293,1,724.05,0.45,40.225,25,1,100000,0,3,,0.15,4,1,1380.42,1.17,1.08,"LINESTRING (-87.59634263262187 41.68659361143647, -87.59696829701788 41.68610700461343)"
2,2,10294,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,1271.61,1.17,1.2,"LINESTRING (-87.59348245252586 41.67253608099313, -87.59410811692187 41.672049474170095)"
3,3,10295,1,627.51,0.39,40.225,25,1,100000,0,3,,0.15,4,1,154.18,1.17,0.936,"LINESTRING (-87.58633200228586 41.665507315771464, -87.58695766668185 41.665020708948425)"
4,4,10296,1,933.22,0.58,40.225,25,1,100000,0,3,,0.15,4,1,1223.55,1.17,1.392,"LINESTRING (-87.59205236247786 41.65631585355851, -87.59267802687387 41.65582924673547)"
5,5,10297,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,353.92,1.17,1.2,"LINESTRING (-87.57775146199783 41.65117944820422, -87.57837712639383 41.65069284138118)"
6,6,10298,1,933.22,0.58,40.225,25,1,100000,0,3,,0.15,4,1,732.01,1.17,1.392,"LINESTRING (-87.59169483996587 41.64171764886735, -87.59232050436187 41.64123104204431)"
7,7,10299,1,724.05,0.45,40.225,25,1,100000,0,3,,0.15,4,1,570.54,1.17,1.08,"LINESTRING (-87.57667889446184 41.64117697461953, -87.57730455885783 41.640690367796495)"
8,8,10300,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,161.22,1.17,1.2,"LINESTRING (-87.58096916460583 41.62063135320234, -87.58159482900184 41.6201447463793)"
9,9,10301,1,707.96,0.44,40.225,25,1,100000,0,3,,0.15,4,1,689.51,1.17,1.056,"LINESTRING (-87.57596384943783 41.63144483815876, -87.57658951383382 41.63095823133572)"
10,10,10302,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,209.47,1.17,1.2,"LINESTRING (-87.58061164209384 41.609006856874196, -87.58123730648984 41.60852025005116)"
11,11,10303,1,724.05,0.45,40.225,25,1,100000,0,3,,0.15,4,1,195.67,1.17,1.08,"LINESTRING (-87.56559569658981 41.62090169032625, -87.56622136098581 41.62041508350322)"
12,12,10304,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,210.27,1.17,1.2,"LINESTRING (-87.59920281271788 41.58846123545701, -87.59982847711389 41.58797462863397)"
13,13,10305,1,707.96,0.44,40.225,25,1,100000,0,3,,0.15,4,1,106.56,1.17,1.056,"LINESTRING (-87.57989659706983 41.594138315059126, -87.58052226146584 41.59365170823609)"
14,14,10306,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,428.57,1.17,1.2,"LINESTRING (-87.59026474991786 41.58143247023534, -87.59089041431386 41.580945863412296)"
15,15,10307,1,707.96,0.44,40.225,25,1,100000,0,3,,0.15,4,1,111.86,1.17,1.056,"LINESTRING (-87.57989659706983 41.58143247023534, -87.58052226146584 41.580945863412296)"
16,16,10308,1,820.59,0.51,40.225,25,1,100000,0,3,,0.15,4,1,198.84,1.17,1.224,"LINESTRING (-87.57953907455783 41.57332235651803, -87.58016473895384 41.57283574969499)"
17,17,10309,1,707.96,0.44,40.225,25,1,100000,0,3,,0.15,4,1,0.03,1.17,1.056,"LINESTRING (-87.56698645916148 41.561708673674836, -87.5655063159618 41.561751927614665)"
18,18,10310,1,820.59,0.51,40.225,25,1,100000,0,3,,0.15,4,1,540.23,1.17,1.224,"LINESTRING (-87.58704704730985 41.55250639797693, -87.58767271170585 41.55201979115389)"
19,19,10311,1,691.87,0.43,40.225,25,1,100000,0,3,,0.15,4,1,446.66,1.17,1.032,"LINESTRING (-87.56952844422182 41.550884375233466, -87.57015410861781 41.55039776841043)"
20,20,10312,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,141.04,1.17,1.2,"LINESTRING (-87.58490191223785 41.537097181914035, -87.58552757663385 41.536610575091)"
21,21,10313,1,691.87,0.43,40.225,25,1,100000,0,3,,0.15,4,1,563.11,1.17,1.032,"LINESTRING (-87.56952844422182 41.53169043943583, -87.57015410861781 41.53120383261279)"
22,22,10314,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,1593.46,1.17,1.2,"LINESTRING (-87.57882402953383 41.52979807956846, -87.57944969392983 41.52931147274542)"
23,23,10315,1,691.87,0.43,40.225,25,1,100000,0,3,,0.15,4,1,440.25,1.17,1.032,"LINESTRING (-87.56952844422182 41.52709470832936, -87.57015410861781 41.52660810150631)"
24,24,10316,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,534.23,1.17,1.2,"LINESTRING (-87.57846650702183 41.50979313239909, -87.57909217141784 41.50930652557605)"
25,25,10317,1,691.87,0.43,40.225,25,1,100000,0,3,,0.15,4,1,493.92,1.17,1.032,"LINESTRING (-87.56881339919781 41.50979313239909, -87.56943906359382 41.50930652557605)"
26,26,10318,1,804.5,0.5,40.225,25,1,100000,0,3,,0.15,4,1,692.28,1.17,1.2,"LINESTRING (-87.59741520015788 41.49546526483184, -87.59804086455388 41.494978658008804)"
